periodo_parlamentario,periodo_anual,legislatura,fecha,titulo,url,filename,paginas,provisional
2021-2026,2022-2023,Primera Legislatura Ordinaria,2023-02-08,"Asistencia de la sesión del 08-02-2023",https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/35BE878525B4A5990525895200571DD5/$FILE/Asis_OFICIAL_08-02-2023.pdf,Asis_OFICIAL_08-02-2023.pdf,1,false
2021-2026,2022-2023,Primera Legislatura Ordinaria,2023-02-02,"Asistencias y votaciones de la sesión del 02-02-2023",https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/CFBBB3C66821790F0525894B00798212/$FILE/Asis_vot_OFICIAL_02-02-2023.pdf,Asis_vot_OFICIAL_02-02-2023.pdf,7,false
2021-2026,2022-2023,Primera Legislatura Ordinaria,2023-02-01,"Asistencias y votaciones de la sesión del 01-02-2023",https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/E9747FD83779B1EB0525894B006CD94B/$FILE/Asis_vot_OFICIAL_01-02-23.pdf,Asis_vot_OFICIAL_01-02-23.pdf,5,false
2021-2026,2022-2023,Primera Legislatura Ordinaria,2023-01-30,"Asistencias y votación de la sesión del 30-01-2023",https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/FC1362D505EF99F4052589480060074A/$FILE/Asis_vot_OFICIAL_30-01-23.pdf,Asis_vot_OFICIAL_30-01-23.pdf,3,false
2021-2026,2022-2023,Primera Legislatura Ordinaria,2023-01-27,"Asistencias y votaciones de la sesión del 27-01-2023",https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/558B52A3A58DBC260525894800519FE2/$FILE/Asist_vot_OFICIAL_27-01-2023.pdf,Asist_vot_OFICIAL_27-01-2023.pdf,9,false
2021-2026,2022-2023,Primera Legislatura Ordinaria,2023-01-26,"Asistencias y votaciones de la sesión del 26-01-2023",https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/9FB08842E670EE28052589470054B87E/$FILE/Asis_vot_OFICIAL_26-01-23.pdf,Asis_vot_OFICIAL_26-01-23.pdf,25,false
2021-2026,2022-2023,Primera Legislatura Ordinaria,2023-01-16,"Asistencias y votaciones de la sesión del 16-01-2023",https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/534613C90101C5190525893B006C0D6B/$FILE/Asis_vot_OFICIAL_16-01-23.pdf,Asis_vot_OFICIAL_16-01-23.pdf,40,false
2021-2026,2022-2023,Primera Legislatura Ordinaria,2023-01-12,"Asistencias y votaciones de la sesión del 12-01-2023",https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/A79CA1ED6C9CCC8405258936007E8C4B/$FILE/Asis_vot_OFICIAL_12-01-23.pdf,Asis_vot_OFICIAL_12-01-23.pdf,37,false
2021-2026,2022-2023,Primera Legislatura Ordinaria,2023-01-10,"Asistencias y votaciones de la sesión del 10-01-2023",https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/1E7399E55610DD6905258936007A06F8/$FILE/Asis_vot_OFICIAL_10-01-23.pdf,Asis_vot_OFICIAL_10-01-23.pdf,11,false
2021-2026,2022-2023,Primera Legislatura Ordinaria,2023-01-05,"Asistencias y votaciones de la sesión del 05-01-2023",https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/72A75AEA2534E11505258936007A79DD/$FILE/Asis_vot_OFICIAL_05-01-23.pdf,Asis_vot_OFICIAL_05-01-23.pdf,59,false
2021-2026,2022-2023,Primera Legislatura Ordinaria,2022-12-28,"Asistencias y votaciones de la sesión del 28-12-2022",https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/070E8D09AB9201F90525892E0074265B/$FILE/Asis_vot_OFICIAL_28-12-22.pdf,Asis_vot_OFICIAL_28-12-22.pdf,82,false
2021-2026,2022-2023,Primera Legislatura Ordinaria,2022-12-21,"Asistencias y votaciones de la sesión del 21-12-2022",https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/C97DDE166DA61F5B05258925006D93D5/$FILE/Asis_vot_OFICIAL_21-12-2022.pdf,Asis_vot_OFICIAL_21-12-2022.pdf,41,false
2021-2026,2022-2023,Primera Legislatura Ordinaria,2022-12-20,"Asistencias y votaciones de la sesión del 20-12-2022",https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/28903E5293881A660525892100616A75/$FILE/Asis_vot_OFICIAL_20-12-2022.pdf,Asis_vot_OFICIAL_20-12-2022.pdf,5,false
2021-2026,2022-2023,Primera Legislatura Ordinaria,2022-12-16,"Asistencias y votación de la sesión del 16-12-2022",https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/67A762BADC47F95C0525891A0079F6E2/$FILE/Asis_vot_OFICIAL_16-12-2022.pdf,Asis_vot_OFICIAL_16-12-2022.pdf,3,false
2021-2026,2022-2023,Primera Legislatura Ordinaria,2022-12-15,"Asistencia de la sesión del 15-12-2022",https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/4DFB96924603C9CA0525891A00743B01/$FILE/Asis_OFICIAL_15-12-22.pdf,Asis_OFICIAL_15-12-22.pdf,1,false
2021-2026,2022-2023,Primera Legislatura Ordinaria,2022-12-12,"Asistencias y votación de la sesión del 12-12-2022",https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/7D60396023FED5070525891800588289/$FILE/Asis_vot_OFICIAL_12-12-2022.pdf,Asis_vot_OFICIAL_12-12-2022.pdf,3,false
2021-2026,2022-2023,Primera Legislatura Ordinaria,2022-12-11,"Asistencias y votaciones de la sesión del 11-12-2022",https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/3369D06A45385F500525891A00742728/$FILE/Asis_vot_OFICIAL_11-12-2022.pdf,Asis_vot_OFICIAL_11-12-2022.pdf,22,false
2021-2026,2022-2023,Primera Legislatura Ordinaria,2022-12-07,"Asistencia y votación de la sesión del 07-12-2022",https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/91E5970F99BA235C05258917006DF112/$FILE/Asis_vot_OFICIAL_07-12-2022.pdf,Asis_vot_OFICIAL_07-12-2022.pdf,2,false
2021-2026,2022-2023,Primera Legislatura Ordinaria,2022-12-01,"Asistencias y votaciones de la sesión del 01-12-2022",https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/99AB066195818A5C052589100051136B/$FILE/Asis_vot_OFICIAL_01-12-2022.pdf,Asis_vot_OFICIAL_01-12-2022.pdf,7,false
2021-2026,2022-2023,Primera Legislatura Ordinaria,2022-11-30,"Asistencias y votaciones de la sesión del 30-11-2022",https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/CBF4F9BC24EBC4F80525891000510869/$FILE/Asis_vot_OFICIAL_30-11-2022.pdf,Asis_vot_OFICIAL_30-11-2022.pdf,7,false
2021-2026,2022-2023,Primera Legislatura Ordinaria,2022-11-29,"Asistencia de la sesión del 29-11-2022",https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/A5A65E24E93D0DE3052589100050FD06/$FILE/Asis_OFICIAL_29-11-2022.pdf,Asis_OFICIAL_29-11-2022.pdf,1,false
2021-2026,2022-2023,Primera Legislatura Ordinaria,2022-11-28,"Asistencia de la sesión del 28-11-2022",https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/B6DF44218707A51D052589100050F139/$FILE/Asis_OFICIAL_28-11-2022.pdf,Asis_OFICIAL_28-11-2022.pdf,1,false
2021-2026,2022-2023,Primera Legislatura Ordinaria,2022-11-26,"Asistencias y votaciones de la sesión del 26-11-2022",https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/1BDCEFD05E5B992C052589100050DF8E/$FILE/Asis_vot_OFICIAL_26-11-2022.pdf,Asis_vot_OFICIAL_26-11-2022.pdf,5,false
2021-2026,2022-2023,Primera Legislatura Ordinaria,2022-11-24,"Asistencias y votaciones de la sesión del 24-11-2022",https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/700C0B924D97CB30052589100050BE6A/$FILE/Asis_vot_OFICIAL_24-11-2022.pdf,Asis_vot_OFICIAL_24-11-2022.pdf,26,false
2021-2026,2022-2023,Primera Legislatura Ordinaria,2022-11-17,"Asistencias y votaciones de la sesión del 17-11-2022",https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/9533B043A3F7B0B6052589010079394E/$FILE/Asis_vot_OFICIAL_17-11-22.pdf,Asis_vot_OFICIAL_17-11-22.pdf,26,false
2021-2026,2022-2023,Primera Legislatura Ordinaria,2022-11-03,"Asistencias y votaciones de la sesión del 03-11-2022",https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/2506B1A1940DE369052588F50054F194/$FILE/Asis_vot_OFICIAL_03-11-22.pdf,Asis_vot_OFICIAL_03-11-22.pdf,68,false
2021-2026,2022-2023,Primera Legislatura Ordinaria,2022-10-21,"Asistencias y votaciones de la sesión del 21-10-2022",https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/1A07DF3CFDE6B9F0052588E6006B18CC/$FILE/Asis_vot_OFICIAL_21-10-2022.pdf,Asis_vot_OFICIAL_21-10-2022.pdf,5,false
