periodo_parlamentario,periodo_anual,legislatura,fecha,titulo,url,filename,paginas,provisional
2021-2026,2021-2022,Segunda Legislatura Ordinaria,2022-04-07,"Asistencias y votaciones de la sesión del 07-04-2022",https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/C2160BA5634F875F05258829005CBD64/$FILE/Asis_vot_OFICIAL_07-04-2022.pdf,Asis_vot_OFICIAL_07-04-2022.pdf,37,false
2021-2026,2021-2022,Segunda Legislatura Ordinaria,2022-04-04,"Asistencias y votaciones de la sesión del 04-04-2022",https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/CE29D238626D53C00525881D004FEB69/$FILE/Asis_vot_OFICIAL_04-04-2022.pdf,Asis_vot_OFICIAL_04-04-2022.pdf,7,false
2021-2026,2021-2022,Segunda Legislatura Ordinaria,2022-03-31,"Asistencias y votaciones de la sesión del 31-03-2022",https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/01CDED070EFD1DB80525881C00748B53/$FILE/Asis_vot_OFICIAL_31-03-22.pdf,Asis_vot_OFICIAL_31-03-22.pdf,42,false
2021-2026,2021-2022,Segunda Legislatura Ordinaria,2022-03-28,"Asistencias y votaciones de la sesión del 28-03-2022",https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/D2AA37E980AADA420525881400722B71/$FILE/Asis_vot_OFICIAL_28-03-2022.pdf,Asis_vot_OFICIAL_28-03-2022.pdf,9,false
2021-2026,2021-2022,Segunda Legislatura Ordinaria,2022-03-16,"Asistencias y votaciones de la sesión del 16-03-2022",https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/F2F7A5E692A6C48E05258808001ABFD1/$FILE/asistencia-y-votaciones-OFICIALES-del-16-03-2022.pdf,asistencia-y-votaciones-OFICIALES-del-16-03-2022.pdf,36,false
2021-2026,2021-2022,Segunda Legislatura Ordinaria,2022-03-15,"Asistencia de la sesión del 15-03-2022",https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/310698C104C79CEB05258807007B19D9/$FILE/Asis_OFICIAL_15-03-22.pdf,Asis_OFICIAL_15-03-22.pdf,1,false
2021-2026,2021-2022,Segunda Legislatura Ordinaria,2022-03-14,"Asistencias y votaciones de la sesión del 14-03-2022",https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/5E3E2BF0705E9EB405258807007B2969/$FILE/Asis_vot_OFICIAL_14-03-22.pdf,Asis_vot_OFICIAL_14-03-22.pdf,7,false
2021-2026,2021-2022,Segunda Legislatura Ordinaria,2022-03-10,"Asistencias y votaciones de la sesión del 10-03-2022",https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/70594223943131300525880600718C06/$FILE/Asis_vot_OFICIAL_10-03-22.pdf,Asis_vot_OFICIAL_10-03-22.pdf,33,false
2021-2026,2021-2022,Segunda Legislatura Ordinaria,2022-03-08,"Asistencias y votaciones de la sesión del 08-03-2022",https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/83800189E262A00E05258806006F4B38/$FILE/Asis_vot_OFICIAL_08-03-22.pdf,Asis_vot_OFICIAL_08-03-22.pdf,13,false
2021-2026,2021-2022,Segunda Legislatura Ordinaria,2022-03-01,"Asistencias y votaciones de la sesión del 01-03-2022",https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/903C8B9FF2A06005052587F9006F9A50/$FILE/Asis_vot_OFICIAL_01-03-22.pdf,Asis_vot_OFICIAL_01-03-22.pdf,5,false
